user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.300	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1375;s__UMGS1375 sp900066615	GCA_900066615.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1375;s__UMGS1375 sp900066615	98.57	0.97	GCA_900066615.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1375;s__UMGS1375 sp900066615	98.57	0.97	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1375;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900551235.1, s__UMGS1375 sp900551235, 95.0, 86.24, 0.69	61.75	11	N/A	N/A
bin.301	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003471165	GCF_003471165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003471165	96.26	0.74	GCF_003471165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003471165	96.26	0.74	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003480185.1, s__Blautia_A sp003480185, 95.0, 86.61, 0.62; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 86.58, 0.59; GCF_003477525.1, s__Blautia_A sp003477525, 95.0, 84.55, 0.58; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 83.92, 0.49; GCF_003478765.1, s__Blautia_A sp003478765, 95.0, 83.69, 0.54; GCF_003474435.1, s__Blautia_A sp003474435, 95.0, 79.42, 0.26; GCF_000153905.1, s__Blautia_A obeum, 95.0, 79.37, 0.23; GCF_003460605.1, s__Blautia_A sp900066145, 95.0, 79.2, 0.23; GCF_003461245.1, s__Blautia_A sp000436615, 95.0, 79.13, 0.26; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 79.1, 0.24; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 79.09, 0.23; GCA_900066205.1, s__Blautia_A sp900066205, 95.0, 78.96, 0.25; GCA_900548245.1, s__Blautia_A sp900548245, 95.0, 78.95, 0.24; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 78.94, 0.24; GCF_003480145.1, s__Blautia_A sp900066165, 95.0, 78.73, 0.24; GCF_003461955.1, s__Blautia_A sp900066335, 95.0, 78.72, 0.25; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 78.63, 0.23; GCA_900553515.1, s__Blautia_A sp900553515, 95.0, 78.61, 0.16; GCA_900066505.1, s__Blautia_A sp900066505, 95.0, 78.55, 0.17; GCA_900551715.1, s__Blautia_A sp900551715, 95.0, 78.31, 0.22; GCA_900551465.1, s__Blautia_A sp900551465, 95.0, 78.15, 0.17; GCF_005844445.1, s__Blautia_A sp000433815, 95.0, 78.08, 0.16; GCA_900541985.1, s__Blautia_A sp900541985, 95.0, 78.03, 0.17; GCA_900549015.1, s__Blautia_A sp900549015, 95.0, 77.7, 0.17; GCA_900540785.1, s__Blautia_A sp900540785, 95.0, 77.63, 0.16; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 77.62, 0.17; GCA_900551075.1, s__Blautia_A sp900551075, 95.0, 77.62, 0.13; GCA_900541345.1, s__Blautia_A sp900541345, 95.0, 77.36, 0.16; GCA_900547615.1, s__Blautia_A sp900547615, 95.0, 77.35, 0.16; GCF_000702025.1, s__Blautia_A schinkii, 95.0, 77.14, 0.15; GCF_002159835.1, s__Blautia_A sp002159835, 95.0, 76.98, 0.06; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 76.17, 0.04; GCA_900542045.1, s__Blautia_A sp900542045, 95.0, 76.09, 0.06	65.81	11	N/A	N/A
bin.302	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS911;s__UMGS911 sp900545935	GCA_900545935.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS911;s__UMGS911 sp900545935	98.44	0.9	GCA_900545935.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS911;s__UMGS911 sp900545935	98.44	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS911;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546695.1, s__UMGS911 sp900546695, 95.0, 86.47, 0.76; GCA_003343545.1, s__UMGS911 sp003343545, 95.0, 76.51, 0.06; GCA_900557415.1, s__UMGS911 sp900557415, 95.0, 76.16, 0.04	93.71	11	N/A	N/A
bin.303	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A	GCF_001404675.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A	98.26	0.95	GCF_001404675.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A	98.26	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000154425.1, s__Coprococcus eutactus, 95.0, 88.79, 0.76; GCA_900557435.1, s__Coprococcus sp900557435, 95.0, 88.43, 0.62; GCA_900548315.1, s__Coprococcus sp900548315, 95.0, 87.77, 0.74; GCA_900548215.1, s__Coprococcus sp900548215, 95.0, 87.38, 0.66; GCF_003482105.1, s__Coprococcus sp000433075, 95.0, 79.97, 0.23; GCF_000154245.1, s__Coprococcus sp000154245, 95.0, 79.52, 0.18; GCF_003461625.1, s__Coprococcus sp900066115, 95.0, 79.34, 0.18; GCA_002437435.1, s__Coprococcus sp002437435, 95.0, 78.55, 0.17	88.97	11	N/A	N/A
bin.304	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella lascolaii	GCF_900079775.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella lascolaii	98.07	0.91	GCF_900079775.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella lascolaii	98.07	0.91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900553465.1, s__Prevotella sp900553465, 95.0, 83.03, 0.67; GCA_900554695.1, s__Prevotella sp900554695, 95.0, 83.01, 0.69; GCA_900556275.1, s__Prevotella sp900556275, 95.0, 78.2, 0.28; GCA_900553595.1, s__Prevotella sp900553595, 95.0, 77.78, 0.19; GCF_900290275.1, s__Prevotella sp900290275, 95.0, 77.53, 0.08; GCA_900314365.1, s__Prevotella sp900314365, 95.0, 77.41, 0.08; GCF_000235885.1, s__Prevotella stercorea, 95.0, 77.41, 0.19; GCF_000479005.1, s__Prevotella sp000479005, 95.0, 77.4, 0.04; GCA_900543975.1, s__Prevotella sp900543975, 95.0, 77.27, 0.14; GCA_002490315.1, s__Prevotella sp002490315, 95.0, 77.26, 0.16; GCA_900314935.1, s__Prevotella sp900314935, 95.0, 77.26, 0.05; GCA_000433175.1, s__Prevotella sp000433175, 95.0, 77.24, 0.14; GCA_900557405.1, s__Prevotella sp900557405, 95.0, 77.2, 0.12; GCA_900554045.1, s__Prevotella sp900554045, 95.0, 77.19, 0.16; GCF_003043945.1, s__Prevotella sp003043945, 95.0, 77.19, 0.07; GCF_000585355.1, s__Prevotella oryzae, 95.0, 77.16, 0.02; GCF_000762405.1, s__Prevotella timonensis_A, 95.0, 77.16, 0.04; GCF_000455445.1, s__Prevotella timonensis, 95.0, 77.14, 0.04; GCF_001275135.1, s__Prevotella sp001275135, 95.0, 77.14, 0.19; GCA_900550365.1, s__Prevotella sp900550365, 95.0, 77.09, 0.11; GCF_001553265.1, s__Prevotella sp001553265, 95.0, 77.09, 0.04; GCA_002369515.1, s__Prevotella sp002369515, 95.0, 77.08, 0.1; GCA_000436595.1, s__Prevotella sp000436595, 95.0, 77.07, 0.11; GCA_900545525.1, s__Prevotella sp900545525, 95.0, 77.07, 0.14; GCA_000434975.1, s__Prevotella sp000434975, 95.0, 77.01, 0.18; GCF_900199655.1, s__Prevotella sp900199655, 95.0, 76.99, 0.11; GCF_000146675.1, s__Prevotella marshii, 95.0, 76.97, 0.04; GCA_900544495.1, s__Prevotella sp900544495, 95.0, 76.93, 0.16; GCA_900553965.1, s__Prevotella sp900553965, 95.0, 76.92, 0.08; GCF_002251435.1, s__Prevotella sp002251435, 95.0, 76.91, 0.05; GCA_900554545.1, s__Prevotella sp900554545, 95.0, 76.89, 0.14; GCF_002265625.1, s__Prevotella sp002265625, 95.0, 76.87, 0.14; GCA_900540415.1, s__Prevotella sp900540415, 95.0, 76.84, 0.17; GCF_000834015.1, s__Prevotella sp000834015, 95.0, 76.81, 0.12; GCA_900550035.1, s__Prevotella sp900550035, 95.0, 76.8, 0.16; GCF_000177075.1, s__Prevotella buccalis, 95.0, 76.79, 0.04; GCA_900546575.1, s__Prevotella sp900546575, 95.0, 76.78, 0.14; GCA_900553155.1, s__Prevotella sp900553155, 95.0, 76.78, 0.12; GCF_003043925.1, s__Prevotella sp003043925, 95.0, 76.77, 0.08; GCA_002314055.1, s__Prevotella sp002314055, 95.0, 76.77, 0.05; GCA_900551055.1, s__Prevotella sp900551055, 95.0, 76.76, 0.14; GCF_002251385.1, s__Prevotella sp002251385, 95.0, 76.76, 0.1; GCF_002251365.1, s__Prevotella sp002251365, 95.0, 76.75, 0.12; GCA_004557285.1, s__Prevotella sp004557285, 95.0, 76.74, 0.06; GCA_002353205.1, s__Prevotella sp002353205, 95.0, 76.74, 0.12; GCA_900316685.1, s__Prevotella sp900316685, 95.0, 76.74, 0.09; GCA_900552675.1, s__Prevotella sp900552675, 95.0, 76.73, 0.09; GCA_900315565.1, s__Prevotella sp900315565, 95.0, 76.73, 0.08; GCA_900318915.1, s__Prevotella sp900318915, 95.0, 76.73, 0.11; GCF_000613445.1, s__Prevotella shahii, 95.0, 76.7, 0.02; GCA_900552515.1, s__Prevotella sp900552515, 95.0, 76.69, 0.15; GCA_900315775.1, s__Prevotella sp900315775, 95.0, 76.69, 0.05; GCA_900314655.1, s__Prevotella sp900314655, 95.0, 76.67, 0.06; GCA_900549175.1, s__Prevotella sp900549175, 95.0, 76.65, 0.15; GCA_002395135.1, s__Prevotella sp002395135, 95.0, 76.64, 0.06; GCA_900315545.1, s__Prevotella sp900315545, 95.0, 76.61, 0.08; GCA_900317305.1, s__Prevotella sp900317305, 95.0, 76.59, 0.1; GCF_000378085.1, s__Prevotella loescheii, 95.0, 76.59, 0.03; GCA_900318625.1, s__Prevotella sp900318625, 95.0, 76.58, 0.14; GCA_900314915.1, s__Prevotella sp900314915, 95.0, 76.54, 0.07; GCF_002251245.1, s__Prevotella sp002251245, 95.0, 76.53, 0.08; GCF_000185145.2, s__Prevotella oralis, 95.0, 76.52, 0.03; GCF_002933775.1, s__Prevotella sp002933775, 95.0, 76.48, 0.07; GCF_900113305.1, s__Prevotella sp900113305, 95.0, 76.4, 0.07; GCA_002353525.1, s__Prevotella sp002353525, 95.0, 76.38, 0.09; GCA_002439605.1, s__Prevotella sp002439605, 95.0, 76.36, 0.06; GCA_000436695.1, s__Prevotella sp000436695, 95.0, 76.36, 0.13; GCA_900316285.1, s__Prevotella sp900316285, 95.0, 76.27, 0.08; GCA_900317545.1, s__Prevotella sp900317545, 95.0, 76.27, 0.05; GCA_002353555.1, s__Prevotella sp002353555, 95.0, 76.27, 0.06; GCA_900547005.1, s__Prevotella sp900547005, 95.0, 76.25, 0.08; GCA_002350805.1, s__Prevotella sp002350805, 95.0, 76.24, 0.07; GCA_900318855.1, s__Prevotella sp900318855, 95.0, 76.24, 0.08; GCA_900316985.1, s__Prevotella sp900316985, 95.0, 76.24, 0.05; GCA_900320585.1, s__Prevotella sp900320585, 95.0, 76.23, 0.09; GCA_900556825.1, s__Prevotella sp900556825, 95.0, 76.16, 0.02; GCF_000379965.1, s__Prevotella nanceiensis, 95.0, 76.11, 0.02; GCF_000426565.1, s__Prevotella albensis, 95.0, 76.1, 0.03; GCF_000312305.1, s__Prevotella conceptionensis, 95.0, 76.09, 0.05; GCF_000613405.1, s__Prevotella enoeca, 95.0, 76.07, 0.03; GCF_000614205.1, s__Prevotella saccharolytica, 95.0, 76.04, 0.02; GCA_004554665.1, s__Prevotella sp004554665, 95.0, 76.04, 0.07; GCF_000613725.1, s__Prevotella pleuritidis, 95.0, 76.03, 0.04; GCA_900313215.1, s__Prevotella sp900313215, 95.0, 76.0, 0.06; GCA_900315455.1, s__Prevotella sp900315455, 95.0, 76.0, 0.1; GCA_900316015.1, s__Prevotella sp900316015, 95.0, 75.99, 0.03; GCA_000436915.1, s__Prevotella sp000436915, 95.0, 75.97, 0.05; GCA_900316295.1, s__Prevotella sp900316295, 95.0, 75.92, 0.06; GCA_900315075.1, s__Prevotella sp900315075, 95.0, 75.91, 0.04; GCF_000373185.1, s__Prevotella paludivivens, 95.0, 75.91, 0.02; GCF_000163055.2, s__Prevotella sp000163055, 95.0, 75.9, 0.02; GCA_002305505.1, s__Prevotella sp002305505, 95.0, 75.89, 0.07; GCA_002298545.1, s__Prevotella sp002298545, 95.0, 75.88, 0.06; GCA_900314715.1, s__Prevotella sp900314715, 95.0, 75.86, 0.03; GCA_900548745.1, s__Prevotella sp900548745, 95.0, 75.71, 0.09; GCA_900548535.1, s__Prevotella sp900548535, 95.0, 75.65, 0.04; GCA_002449845.1, s__Prevotella sp002449845, 95.0, 75.65, 0.03; GCA_900547085.1, s__Prevotella sp900547085, 95.0, 75.51, 0.03; GCA_002361535.1, s__Prevotella sp002361535, 95.0, 75.27, 0.03	39.23	11	N/A	N/A
bin.305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	GCA_000432435.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	97.92	0.86	GCA_000432435.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	97.92	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002437245.1, s__CAG-180 sp002437245, 95.0, 89.23, 0.83; GCA_004556705.1, s__CAG-180 sp004556705, 95.0, 78.69, 0.15; GCA_900315985.1, s__CAG-180 sp900315985, 95.0, 77.42, 0.12; GCA_002361875.1, s__CAG-180 sp002361875, 95.0, 77.26, 0.1; GCA_002314305.1, s__CAG-180 sp002314305, 95.0, 76.66, 0.03; GCA_002490425.1, s__CAG-180 sp002490425, 95.0, 76.62, 0.07; GCA_004555265.1, s__CAG-180 sp004555265, 95.0, 76.43, 0.08; GCA_002490525.1, s__CAG-180 sp002490525, 95.0, 76.39, 0.1; GCA_900540295.1, s__CAG-180 sp900540295, 95.0, 76.25, 0.08; GCA_900545625.1, s__CAG-180 sp900545625, 95.0, 75.67, 0.04	17.28	11	N/A	N/A
bin.306	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-877;s__	N/A	N/A	N/A	N/A	N/A	GCA_000433455.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-877;s__CAG-877 sp000433455	98.09	0.64	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-877;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900554305.1, s__CAG-877 sp900554305, 95.0, 78.86, 0.15; GCA_900554315.1, s__CAG-877 sp900554315, 95.0, 78.09, 0.16; GCA_900552495.1, s__CAG-877 sp900552495, 95.0, 77.84, 0.17; GCA_900548695.1, s__CAG-877 sp900548695, 95.0, 77.16, 0.21	45.58	11	0.9981853436247439	N/A
bin.307	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303;s__CAG-303 sp000437755	GCA_000437755.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303;s__CAG-303 sp000437755	98.11	0.89	GCA_000437755.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303;s__CAG-303 sp000437755	98.11	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900539455.1, s__CAG-303 sp900539455, 95.0, 77.27, 0.07	77.52	11	N/A	N/A
bin.308	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	GCF_003287495.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	98.17	0.92	GCF_003287495.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	98.17	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000162015.1, s__Faecalibacterium prausnitzii_C, 95.0, 81.32, 0.71; GCF_002550035.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.18, 0.73; GCF_002549975.1, s__Faecalibacterium prausnitzii_H, 95.0, 81.13, 0.73; GCA_003293635.1, s__Faecalibacterium prausnitzii_G, 95.0, 81.06, 0.67; GCA_002313795.1, s__Faecalibacterium prausnitzii_L, 95.0, 80.53, 0.6; GCA_900539945.1, s__Faecalibacterium sp900539945, 95.0, 80.52, 0.66; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 80.33, 0.7; GCF_002549755.1, s__Faecalibacterium prausnitzii_D, 95.0, 80.11, 0.64; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 80.08, 0.57; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.06, 80.03, 0.65; GCA_900539885.1, s__Faecalibacterium sp900539885, 95.0, 79.9, 0.64; GCF_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 79.7, 0.61; GCF_002550015.1, s__Faecalibacterium prausnitzii_A, 95.06, 79.58, 0.6; GCA_003449675.1, s__Faecalibacterium sp003449675, 95.0, 79.49, 0.46; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 79.08, 0.55; GCA_900540455.1, s__Faecalibacterium sp900540455, 95.0, 78.35, 0.41; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 77.85, 0.39; GCF_002160915.1, s__Faecalibacterium sp002160915, 95.0, 77.85, 0.38	16.55	11	N/A	N/A
bin.310	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp003480725	GCF_003480725.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp003480725	97.32	0.81	GCF_003480725.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp003480725	97.32	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003481535.1, s__UBA7182 sp003481535, 95.0, 80.51, 0.43; GCF_002160135.1, s__UBA7182 sp002160135, 95.0, 77.61, 0.21; GCA_002491115.1, s__UBA7182 sp002491115, 95.0, 76.9, 0.15; GCA_001941045.1, s__UBA7182 sp001941045, 95.0, 76.66, 0.1	89.72	11	N/A	N/A
bin.311	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella sp005845265	GCF_005845265.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella sp005845265	98.2	0.7	GCF_005845265.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella sp005845265	98.2	0.7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003201875.1, s__Hungatella effluvii, 95.0, 87.93, 0.58; GCF_900105215.1, s__Hungatella guttoidea, 96.86, 80.76, 0.22; GCA_002478865.1, s__Hungatella sp002478865, 95.0, 80.41, 0.08; GCF_900205965.1, s__Hungatella amygdalina, 95.0, 80.27, 0.16; GCF_003432035.1, s__Hungatella sp003432035, 95.0, 79.83, 0.22; GCF_002797975.1, s__Hungatella celerecrescens, 95.0, 79.8, 0.21; GCA_002429965.1, s__Hungatella sp002429965, 95.0, 79.77, 0.12; GCF_900105615.1, s__Hungatella sphenoides, 96.86, 79.72, 0.19; GCF_000526995.1, s__Hungatella indolis, 95.0, 79.54, 0.22; GCF_002934545.1, s__Hungatella xylanolytica, 95.0, 79.53, 0.21; GCF_000732605.1, s__Hungatella celerecrescens_B, 95.0, 79.32, 0.22; GCF_000526575.1, s__Hungatella sp000526575, 95.0, 79.27, 0.23; GCA_002365025.1, s__Hungatella sp002365025, 95.99, 79.23, 0.22; GCF_900155545.1, s__Hungatella sp900155545, 95.0, 79.18, 0.29; GCA_002367105.1, s__Hungatella sp002367105, 95.0, 79.07, 0.19; GCA_001312405.1, s__Hungatella sp001312405, 95.0, 79.0, 0.21; GCF_000687555.1, s__Hungatella aerotolerans, 95.0, 78.92, 0.21; GCA_002389905.1, s__Hungatella sp002389905, 95.0, 78.82, 0.22; GCF_003609635.1, s__Hungatella algidixylanolyticum, 95.0, 78.78, 0.18; GCF_000144625.1, s__Hungatella saccharolytica, 95.0, 78.6, 0.26; GCA_002409995.1, s__Hungatella sp002409995, 95.0, 78.4, 0.21; GCA_007115105.1, s__Hungatella sp007115105, 95.0, 78.28, 0.23; GCF_003833015.1, s__Hungatella sp003833015, 95.0, 77.7, 0.18	12.46	11	N/A	N/A
bin.312	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	14.05	11	0.896025796935241	N/A
bin.314	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-354;s__	N/A	N/A	N/A	N/A	N/A	GCA_900555085.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-354;s__CAG-354 sp900555085	91.59	0.79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-354;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900552655.1, s__CAG-354 sp900552655, 95.0, 78.36, 0.33; GCA_001915925.1, s__CAG-354 sp001915925, 95.0, 78.33, 0.32; GCA_900553015.1, s__CAG-354 sp900553015, 95.0, 78.19, 0.34	86.17	11	0.9846485128572859	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.315	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	GCF_000154065.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	98.84	0.87	GCF_000154065.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	98.84	0.87	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900550865.1, s__Dorea sp900550865, 95.0, 86.66, 0.71; GCF_001404875.1, s__Dorea longicatena_B, 95.0, 84.48, 0.75; GCF_003435815.1, s__Dorea sp000433215, 95.0, 77.2, 0.28; GCA_900553355.1, s__Dorea sp900553355, 95.0, 76.93, 0.16; GCA_900066765.1, s__Dorea sp900066765, 95.0, 76.74, 0.09; GCF_000169235.1, s__Dorea formicigenerans, 95.0, 76.7, 0.25; GCF_900240315.1, s__Dorea sp900240315, 95.0, 76.64, 0.14; GCF_003477705.1, s__Dorea sp900066555, 95.0, 76.63, 0.17; GCA_002492335.1, s__Dorea sp002492335, 95.0, 76.53, 0.1; GCF_000403455.2, s__Dorea sp000403455, 95.0, 76.48, 0.12; GCF_000509125.1, s__Dorea sp000509125, 95.0, 76.41, 0.16; GCA_000433535.1, s__Dorea sp000433535, 95.0, 76.37, 0.16; GCA_900543315.1, s__Dorea sp900543315, 95.0, 76.36, 0.08; GCF_900312975.1, s__Dorea sp900312975, 95.0, 76.34, 0.08; GCF_002160985.1, s__Dorea sp002160985, 95.0, 76.23, 0.03; GCA_900543415.1, s__Dorea sp900543415, 95.0, 76.2, 0.18; GCF_001754075.1, s__Dorea faecis, 95.0, 76.2, 0.15; GCF_004295125.1, s__Dorea scindens, 95.0, 76.19, 0.15; GCF_004345005.1, s__Dorea muris, 95.0, 76.08, 0.11; GCF_001185345.1, s__Dorea sp001185345, 95.0, 76.07, 0.1; GCF_000156515.1, s__Dorea hylemonae, 95.0, 76.01, 0.11; GCF_000765215.1, s__Dorea sp000765215, 95.0, 75.92, 0.06; GCF_900120345.1, s__Dorea phocaeensis, 95.0, 75.78, 0.06; GCF_000403475.2, s__Dorea sp000403475, 95.0, 75.72, 0.08	28.99	11	N/A	N/A
